800,"Neoplasias, NOS"
8714/0,"Tumor epitelioide perivascular, benigno"
8714/0,"PEComa, benigno"
8714/3,"Tumor epitelioide perivascular, maligno"
8714/3,"PEComa, maligno"
872-879,Nevis y melanomas
8720/0,"Nevo pigmentado, NOS"
8720/0,"Nevo, NOS"
8720/0,"Nevo melanocítico, NOS"
8720/0,Nevo piloso
8720/0,Nevo spilus
8720/0,Nevo de Meyerson
8720/0,Nevo penetrante profundo
8720/0,Nevo combinado
8720/0,Genital Nevo
8720/0,Nevo conjuntival
8720/2,Melanoma in situ
8720/3,"Melanoma maligno, NOS"
8720/3,"Melanoma, NOS"
8720/3,Melanoma nevoide
8720/3,"Melanoma, meníngeo"
8721/3,Melanoma nodular
8722/0,Nevo de células en globo
8722/3,Melanoma de células en globo
8723/0,Nevo en halo
8723/0,Nevo en regresión
8723/3,"Melanoma maligno, en regresión"
8725/0,Neuronevo
8726/0,Nevo magnocelular
8726/0,"Melanocitoma, globo ocular"
8726/0,"Melanocitoma, NOS"
8727/0,Nevo displásico
8728/0,Melanocitosis meníngea
8728/0,Melanocitosis difusa
8728/1,Melanocitoma meníngeo
8728/3,Melanomatosis meníngea
8730/0,Nevo no pigmentado
8730/0,Nevo acrómico
8730/3,Melanoma amelanótico
8740/0,"Nevo de la unión, NOS"
8740/0,Nevo intraepidérmico
8740/0,Nevo de la unión
8740/3,Melanoma maligno en nevo de la unión
8741/2,"Melanosis precancerosa, NOS"
8741/3,Melanoma maligno en melanosis precancerosa
8742/0,Nevo melanocítico lentiginoso
8742/0,Lentigo simple
8742/0,Lentigo simple
8742/2,Lentigo maligno
8742/2,"Peca melanótica de Hutchinson, NOS"
8742/3,Melanoma lentigo maligno
8742/3,Melanoma maligno en peca melanótica de Hutchinson
8743/3,Melanoma con daño solar acumulativo bajo
8743/3,Melanoma de propagación superficial
8744/0,Nevo acral
8744/3,Melanoma acral
8744/3,"Melanoma lentiginoso acral, maligno"
8745/3,"Melanoma desmoplásico, NOS"
8745/3,"Melanoma desmoplásico, amelanótico"
8745/3,"Melanoma neurotrópico, maligno"
8746/3,Melanoma lentiginoso mucoso
8750/0,Nevo dérmico
8750/0,Nevo intradérmico
8750/0,Nevo estromal
8760/0,Nevo compuesto
8760/0,Nevo dérmico y epidérmico
8761/0,"Nevo melanocítico congénito, NOS"
8761/1,"Nevo gigante Nevo pigmentado, NOS"
8761/1,Nevo congénito intermedio y gigante
8761/3,Melanoma maligno que surge en un nevo congénito gigante
8761/3,Melanoma maligno en un nevo pigmentado gigante
8761/3,Melanoma maligno en un nevo melanocítico congénito
8762/1,Lesión dérmica proliferativa en un nevo congénito
8762/1,Nódulo proliferativo en un nevo melanocítico congénito
8770/0,Nevo de células fusiformes y epitelioide
8770/0,Melanoma juvenil
8770/0,Nevo juvenil
8770/0,"Nevo de Spitz, NOS"
8770/0,"Nevo de Spitz, atípico"
8770/0,Nevo de células fusiformes pigmentado de Reed
8770/0,Nevo de Spitz de células fusiformes pigmentado
8770/3,Tumor maligno de Spitz
8770/3,Melanoma mixto de células fusiformes y epitelioide
8770/3,Melanoma de Spitz
8770/3,Melanoma spitzoide
8771/0,Nevo de células epitelioides
8771/3,Melanoma de células epitelioides
8772/0,"Nevo de células fusiformes, NOS"
8772/3,"Nevo de células fusiformes melanoma, NOS"
8773/3,"Melanoma de células fusiformes, tipo A"
8774/3,"Melanoma de células fusiformes, tipo B"
8780/0,"Nevo azul, NOS"
8780/0,Nevo azul de Jadassohn
8780/1,Melanocitoma epitelioide pigmentado
8780/1,"Nevo azul, epitelioide"
8780/3,"Nevo azul, maligno"
8780/3,Melanoma que surge en un nevo azul
8790/0,Nevo azul celular
880,"Tumores y sarcomas de tejidos blandos, NOS"
8800/0,"Tumor de tejidos blandos, benigno"
8800/3,"Sarcoma, NOS"
8800/3,"Tumor mesenquimal, maligno"
8800/3,Sarcoma de tejidos blandos
8800/3,"Tumor de tejidos blandos, maligno"
8800/9,"Sarcomatosis, NOS"
8801/3,Sarcoma de células fusiformes
8801/3,"Sarcoma de células fusiformes, indiferenciado"
8802/1,Tumor angiectásico hialinizante pleomórfico
8802/3,Sarcoma de células gigantes
8802/3,"Sarcoma de células pleomórficas, NOS"
8802/3,"Sarcoma de células pleomórficas, indiferenciado"
8802/3,Sarcoma pleomórfico
8802/3,Sarcoma dérmico pleomórfico
8803/3,Sarcoma de células pequeñas
8803/3,"Sarcoma de células redondas, NOS"
8803/3,"Sarcoma de células redondas, indiferenciado"
8804/3,"Epitelioide Sarcoma, NOS"
8804/3,Sarcoma de células epitelioides
8804/3,"Sarcoma epitelioides, indiferenciado"
8805/3,Sarcoma indiferenciado
8806/3,Tumor desmoplásico de células pequeñas y redondas
881-883,Neoplasias fibromatosas
8810/0,"Fibroma, NOS"
8810/0,Fibroblastoma desmoplásico
8810/0,Fibroma de Gardner
8810/0,Fibroma nucal
8810/0,Fibroma colagenoso
8810/0,Fibroma dérmico en forma de placa CD34 positivo
8810/1,Fibroma celular
8810/3,"Fibrosarcoma, NOS"
8811/0,"Fibromixoma, NOS"
8811/0,"Mixofibroma, NOS"
8811/0,Fibroma mixoide
8811/0,Fibromixoma plexiforme
8811/0,Fibromixoma acral
8811/1,Sarcoma fibroblástico mixoinflamatorio
8811/1,Tumor fibroblástico mixoinflamatorio atípico
8811/1,Tumor fibrolipomatoso hemosiderótico
8811/3,Mixofibrosarcoma
8811/3,Fibromixosarcoma
8812/0,Fibroma perióstico
8812/3,Fibrosarcoma perióstico
8812/3,"Sarcoma perióstico, NOS"
8813/0,Fibroma de la vaina tendinosa
8813/0,Fibroma fascial
8813/1,Firomatosis de tipo palmar/plantar
8813/1,Fibromatosis superficial
8813/3,Fibrosarcoma fascial
8814/3,Fibrosarcoma infantil
8814/3,Fibrosarcoma congénito
8815/0,"Tumor fibroso solitario/Hemangiopericitoma, grado 1"
8815/0,"Hemangiopericitoma, benigno"
8815/1,"Tumor fibroso solitario, NOS"
8815/1,"Hemangiopericitoma, NOS"
8815/1,Tumor fibroso localizado
8815/1,"Tumor fibroso solitario/Hemangiopericitoma, grado 2"
8815/1,Meningioma hemangiopericítico
8815/3,"Tumor fibroso solitario, maligno"
8815/3,"Tumor fibroso solitario Tumor/Hemangiopericitoma, grado 3"
8815/3,Hemangiopericitoma maligno
8816/0,Fibroma aponeurótico calcificante
8817/0,Tumor fibroso calcificante
8818/0,Displasia fibrosa
8820/0,Elastofibroma
8821/1,Fibromatosis agresiva
8821/1,Fibromatosis de tipo desmoide
8821/1,"Desmoide, NOS"
8821/1,"Tumor desmoide, NOS"
8821/1,Desmoide extraabdominal
8821/1,Fibroma invasivo
8822/1,Fibromatosis abdominal
8822/1,Desmoide abdominal
8822/1,Fibromatosis mesentérica
8822/1,Fibromatosis retroperitoneal
8823/0,Fibroma esclerótico
8823/1,Fibroma desmoplásico
8824/0,Miofibroma
8824/0,Dermatomiofibroma
8824/0,Miopericitoma
8824/1,Miofibromatosis
8824/1,Fibromatosis generalizada congénita
8824/1,Miofibromatosis infantil
8825/0,Miofibroblastoma
8825/1,"Tumor miofibroblástico, NOS"
8825/1,Tumor miofibroblástico inflamatorio
8825/3,Sarcoma miofibroblástico
8826/0,Angiomiofibroblastoma
8827/1,"Tumor miofibroblástico, peribronquial"
8827/1,Tumor miofibroblástico peribronquial congénito
8828/0,Fascitis nodular
8828/0,Fascitis proliferativa
8828/0,Miositis proliferativa
8830/0,"Histiocitoma fibroso benigno, NOS"
8830/0,"Histiocitoma fibroso, NOS"
8830/0,"Fibroxantoma, NOS"
8830/0,Xantofibroma
8830/0,Histiocitoma fibroso epitelioide
8830/1,Histiocitoma fibroso atípico
8830/1,Fibroxantoma atípico
8830/3,Histiocitoma fibroso maligno
8830/3,Sarcoma pleomórfico de alto grado indiferenciado de hueso
8830/3,Fibroxantoma maligno
8831/0,"Histiocitoma, NOS"
8831/0,Histiocitoma profundo
8831/0,Histiocitoma fibroso benigno profundo
8831/0,Juvenil histiocitoma
8831/0,Reticulohistiocitoma
8831/0,Reticulohistocitosis
8832/0,"Dermatofibroma, NOS"
8832/0,"Histiocitoma cutáneo, NOS"
8832/0,Dermatofibroma lenticular
8832/0,Hemangioma esclerosante
8832/0,Fibrosis nodular subepidérmica
8832/0,Neumocitoma esclerosante
8832/0,Fibroma pleomórfico
8832/1,"Dermatofibrosarcoma protuberans, NOS"
8832/1,"Dermatofibrosarcoma, NOS"
8832/3,"Dermatofibrosarcoma protuberans, fibrosarcomatoso"
8832/3,"Dermatofibrosarcoma, sarcomatoso"
8833/1,Dermatofibrosarcoma protuberans pigmentado
8833/1,Tumor de Bednar
8834/1,Fibroblastoma de células gigantes
8835/1,Tumor fibrohistiocítico plexiforme
8836/1,Histiocitoma fibroso angiomatoide
884,Neoplasias mixomatosas
8840/0,"Mixoma, NOS"
8840/3,Mixosarcoma
8840/3,Sarcoma fibromixoide de bajo grado
8840/3,Epitelioide esclerosante fibrosarcoma
8841/0,"Angiomixoma, NOS"
8841/0,Angiomixoma agresivo
8841/0,Angiomixoma superficial
8842/0,"Tumor fibromixoide osificante, NOS"
8842/3,"Tumor miofibroblástico, NOS"
8842/3,Tumor miofibroblástico inflamatorio
885-888,Sarcoma miofibroblástico
8850/0,Angiomiofibroblastoma
8850/0,"Tumor miofibroblástico, peribronquial"
8850/1,Tumor miofibroblástico peribronquial congénito
8850/1,Fascitis nodular
8850/1,Fascitis proliferativa
8850/3,Miositis proliferativa
8850/3,"Histiocitoma fibroso benigno, NOS"
8851/0,"Histiocitoma fibroso, NOS"
8851/1,"Fibroxantoma, NOS"
8851/3,Xantofibroma
8851/3,Histiocitoma fibroso epitelioide
8851/3,Histiocitoma fibroso atípico
8851/3,Fibroxantoma atípico
8851/3,Histiocitoma fibroso maligno
8852/0,Sarcoma pleomórfico de alto grado indiferenciado de hueso
8852/0,Fibroxantoma maligno
8852/3,"Histiocitoma, NOS"
8852/3,Histiocitoma profundo
8853/3,Histiocitoma fibroso benigno profundo
8854/0,Juvenil histiocitoma
8854/3,Reticulohistiocitoma
8855/3,Reticulohistocitosis
8856/0,"Dermatofibroma, NOS"
8856/0,"Histiocitoma cutáneo, NOS"
8856/0,Dermatofibroma lenticular
8857/0,Hemangioma esclerosante
8857/3,Fibrosis nodular subepidérmica
8858/3,Neumocitoma esclerosante
8860/0,Fibroma pleomórfico
8860/1,"Dermatofibrosarcoma protuberans, NOS"
8861/0,"Dermatofibrosarcoma, NOS"
8862/0,"Dermatofibrosarcoma protuberans, fibrosarcomatoso"
8870/0,"Dermatofibrosarcoma, sarcomatoso"
8880/0,Dermatofibrosarcoma protuberans pigmentado
8880/0,Tumor de Bednar
8880/0,Fibroblastoma de células gigantes
8881/0,Tumor fibrohistiocítico plexiforme
8881/0,Histiocitoma fibroso angiomatoide
8881/0,Neoplasias mixomatosas
8881/0,"Mixoma, NOS"
889-892,Mixosarcoma
8890/0,Sarcoma fibromixoide de bajo grado
8890/0,Epitelioide esclerosante fibrosarcoma
8890/0,"Angiomixoma, NOS"
8890/0,Angiomixoma agresivo
8890/0,Angiomixoma superficial
8890/0,"Tumor fibromixoide osificante, NOS"
8890/0,Leiomioma plexiforme
8890/0,"Leiomioma, apopléjico"
8890/0,"Leiomioma, hidrópico"
8890/0,Miolipoma
8890/0,Leiomioma cotiledoide
8890/0,Leiomioma disecante
8890/1,"Leiomiomatosis, NOS"
8890/1,"Leiomiomatosis, peritoneal diseminada"
8890/1,Leiomiomatosis intravascular
8890/1,Leiomiomatosis intravenosa
8890/3,"Leiomiosarcoma, NOS"
8891/0,Leiomioma epitelioide
8891/0,Leiomioblastoma
8891/3,Leiomiosarcoma epitelioide
8892/0,Leiomioma celular
8893/0,Leiomioma extraño
8893/0,Leiomioma atípico
8893/0,Leiomioma pleomórfico
8893/0,Leiomioma simplásico
8894/0,Angioleiomioma
8894/0,Angiomioma
8894/0,Leiomioma vascular
8894/3,Angiomiosarcoma
8895/0,Mioma
8895/3,Miosarcoma
8896/0,Leiomioma mixoide
8896/3,Leiomiosarcoma mixoide
8897/1,Tumor de músculo liso de potencial maligno incierto
8897/1,"Tumor de músculo liso, atípico"
8897/1,"Tumor de músculo liso, NOS"
8897/1,Leiomiosarcoma cutáneo
8898/1,Leiomioma metastásico
8900/0,"Rabdomioma, NOS"
8900/3,"Rabdomiosarcoma, NOS"
8900/3,Rabdosarcoma
8901/3,"Rabdomiosarcoma pleomórfico, tipo adulto"
8901/3,"Rabdomiosarcoma pleomórfico, NOS"
8901/3,"Rabdomiosarcoma, tipo pleomórfico"
8902/3,Rabdomiosarcoma de tipo mixto
8902/3,Rabdomiosarcoma embrionario mixto y rabdomiosarcoma alveolar
8903/0,Rabdomioma fetal
8904/0,Rabdomioma celular del adulto
8904/0,Rabdomioma del adulto
8904/0,Rabdomioma glucogénico
8905/0,Rabdomioma genital
8910/3,"Rabdomiosarcoma embrionario, NOS"
8910/3,"Rabdomiosarcoma, tipo embrionario"
8910/3,"Rabdomiosarcoma embrionario, pleomórfico"
8910/3,Sarcoma botrioides
8910/3,Sarcoma botrioide
8912/3,Rabdomiosarcoma de células fusiformes
8912/3,Rabdomiosarcoma esclerosante
8912/3,"Rabdomiosarcoma, tipo fusiforme/esclerosante"
8920/3,Rabdomiosarcoma alveolar
8921/3,Ectomesenquimoma
8921/3,Rabdomiosarcoma con gangliosarcoma Diferenciación
893-899,Neoplasias complejas mixtas y estromales
8930/0,Nódulo estromal endometrial
8930/3,"Sarcoma estromal endometrial, NOS"
8930/3,"Sarcoma endometrial, NOS"
8930/3,"Sarcoma estromal endometrial, alto grado"
8930/3,"Sarcoma estromal endometrioide, alto grado"
8931/3,"Sarcoma estromal endometrioide, bajo grado"
8931/3,Miosis estromal endolinfática
8931/3,"Sarcoma estromal endometrioide, bajo grado"
8931/3,Estromatosis endometrial
8931/3,Endometriosis estromal
8931/3,"Miosis estromal, NOS"
8932/0,"Adenomioma, NOS"
8932/0,Adenomioma polipoide atípico
8933/3,Adenosarcoma
8934/3,Carcinofibroma
8935/0,"Tumor estromal, benigno"
8935/1,"Tumor estromal, NOS"
8935/1,Tumor estromal metanéfrico
8935/1,Tumor estromal de potencial maligno incierto
8935/3,"Sarcoma estromal, NOS"
8936/3,Gastrointestinal stromal tumor
8936/3,GIST
8936/3,Gastrointestinal stromal sarcoma
8936/3,Gastrointestinal autonomic nerve tumor
8936/3,GANT
8936/3,Gastrointestinal pacemaker cell tumor
8940/0,Pleomorphic adenoma
8940/0,"Mixed tumor, NOS"
8940/0,"Mixed tumor, salivary gland type, NOS"
8940/0,"Chondroid syringoma, NOS"
8940/3,"Mixed tumor, malignant, NOS"
8940/3,"Mixed tumor, salivary gland type, malignant"
8940/3,Malignant chondroid syringoma
8941/3,Carcinoma ex pleomorphic adenoma
8941/3,Carcinoma in pleomorphic adenoma
8950/3,Mullerian mixed tumor
8951/3,Mesodermal mixed tumor
8959/0,Benign cystic nephroma
8959/0,Mixed epithelial and stromal tumor
8959/0,Pediatric cystic nephroma
8959/0,Adult cystic nephroma
8959/1,Cystic partially differentiated nephroblastoma
8959/3,Malignant cystic nephroma
8959/3,Malignant multilocular cystic nephroma
8960/1,Mesoblastic nephroma
8960/3,"Nephroblastoma, NOS"
8960/3,"Nephroma, NOS"
8960/3,Wilms tumor
8963/3,"Rhabdoid tumor, NOS"
8963/3,Malignant rhabdoid tumor
8963/3,Rhabdoid sarcoma
8964/3,Clear cell sarcoma of kidney
8966/0,Renomedullary interstitial cell tumor
8966/0,Renomedullary fibroma
8966/0,Medullary fibroma
8967/0,Ossifying renal tumor
8970/3,"Hepatoblastoma, NOS"
8970/3,Embryonal hepatoma
8970/3,Hepatoblastoma epitelioide
8970/3,Hepatoblastoma mixto epitelial-mesenquimal
8971/3,Pancreatoblastoma
8972/3,Blastoma pulmonar
8972/3,Neumoblastoma
8973/3,Blastoma pleuropulmonar
8974/1,Sialoblastoma
8975/1,Tumor estromal-epitelial anidado calcificado
8980/3,"Carcinosarcoma, NOS"
8981/3,Carcinosarcoma embrionario
8982/0,"Mioepitelioma, NOS"
8982/0,Adenoma mioepitelial
8982/0,Tumor mioepitelial
8982/0,Tumor condromixoide ectomesenquimal
8982/3,Carcinoma mioepitelial
8982/3,Mioepitelioma maligno
8982/3,Mioepitelioma infiltrante
8983/0,"Adenomioepitelioma, NOS"
8983/0,Adenomioepitelioma benigno
8983/3,Adenomioepitelioma con carcinoma
8983/3,Adenomioepitelioma maligno
8990/0,Mesenquimoma benigno
8990/0,Tumor mesenquimal fosfatúrico benigno
8990/0,"Tumor mesenquimal fosfatúrico, NOS"
8990/1,"Mesenquimoma, NOS"
8990/1,Tumor mesenquimal mixto
8990/1,Tumor primitivo de células granulares no neuronales
8990/3,Mesenquimoma maligno
8990/3,Sarcoma mesenquimal mixto
8990/3,Tumor mesenquimal fosfatúrico maligno
8991/3,Sarcoma embrionario
8992/0,Hamartoma pulmonar
900-903,Neoplasias fibroepiteliales
9000/0,"Tumor de Brenner, NOS"
9000/1,"Tumor de Brenner, malignidad limítrofe"
9000/1,Tumor de Brenner limítrofe
9000/1,Tumor de Brenner proliferativo atípico
9000/1,Tumor de Brenner proliferante
9000/3,Tumor de Brenner maligno
9010/0,"Fibroadenoma, NOS"
9010/0,Lipofibroadenoma
9011/0,Fibroadenoma intracanalicular
9012/0,Fibroadenoma pericanular
9013/0,"Adenofibroma, NOS"
9013/0,Adenofibroma metanéfrico
9013/0,Adenofibroma nefrogénico
9013/0,"Cistadenofibroma, NOS"
9013/0,Adenofibroma papilar
9014/0,"Adenofibroma seroso, NOS"
9014/0,"Cistadenofibroma seroso, NOS"
9014/0,Adenofibroma seromucinoso
9014/1,Adenofibroma seroso de malignidad limítrofe
9014/1,Cistadenofibroma seroso de malignidad limítrofe
9014/3,Adenocarcinofibroma seroso
9014/3,Adenofibroma seroso maligno
9014/3,Cistadenofibroma seroso
9014/3,Cistadenofibroma seroso maligno
9015/0,"Adenofibroma mucinoso, NOS"
9015/0,"Cistadenofibroma mucinoso, NOS"
9015/1,Adenofibroma mucinoso de malignidad limítrofe
9015/1,Cistadenofibroma mucinoso de malignidad limítrofe
9015/3,Adenocarcinofibroma mucinoso
9015/3,Adenofibroma mucinoso maligno
9015/3,Cistadenofibroma mucinoso maligno
9015/3,Cistadenofibroma mucinoso maligno
9016/0,Gigante Fibroadenoma
9020/0,Tumor filodes benigno
9020/0,Cistosarcoma filodes benigno
9020/1,Tumor filodes limítrofe
9020/1,"Cistosarcoma filodes, NOS"
9020/1,"Tumor filodes, NOS"
9020/3,Tumor filodes maligno
9020/3,Cistosarcoma filodes maligno
9020/3,"Tumor del estroma periductal, grado bajo"
9030/0,Fibroadenoma juvenil
904,Neoplasias de tipo sinovial
9040/0,Sinovioma benigno
9040/3,"Sarcoma sinovial, NOS"
9040/3,"Sinovioma, NOS"
9040/3,Sinovioma maligno
9041/3,"Sarcoma sinovial, células fusiformes"
9041/3,"Sarcoma sinovial, fibroso monofásico"
9042/3,"Sarcoma sinovial, células epitelioides"
9043/3,"Sarcoma sinovial, bifásico"
9044/3,"Sarcoma de células claras, NOS"
9044/3,Melanoma maligno de partes blandas
9045/3,Sarcoma sinonasal bifenotípico
905,Neoplasias mesoteliales
9050/0,Mesotelioma benigno
9050/3,Mesotelioma maligno
9050/3,"Mesotelioma, NOS"
9051/0,"Mesotelioma fibroso, benigno"
9051/3,"Mesotelioma fibroso, maligno"
9051/3,"Mesotelioma fibroso, NOS"
9051/3,Mesotelioma desmoplásico
9051/3,Mesotelioma sarcomatoide
9051/3,Mesotelioma fusiforme
9052/0,"Mesotelioma epitelioide, benigno"
9052/0,Mesotelioma papilar bien diferenciado mesotelioma
9052/0,Papiloma mesotelial
9052/1,Mesotelioma papilar bien diferenciado de la pleura
9052/3,Mesotelioma epitelioide maligno
9052/3,"Mesotelioma epitelioide, NOS"
9053/3,"Mesotelioma, bifásico, maligno"
9053/3,"Mesotelioma, bifásico, NOS"
9054/0,"Tumor adenomatoide, NOS"
9055/0,Quistes de inclusión peritoneal
9055/0,Mesotelioma quístico
9055/0,Mesotelioma multiquístico
906-909,Neoplasias de células germinales
9060/3,Disgerminoma
9061/3,"Seminoma, NOS"
9062/3,"Seminoma, anaplásico"
9062/3,Seminoma con alto índice mitótico
9063/3,Seminoma espermatocítico
9063/3,Espermatocitoma
9063/3,Tumor espermatocítico
9064/2,Células germinales malignas intratubulares
9064/2,Neoplasia intratubular de células germinales
9064/2,Neoplasia de células germinales in situ
9064/3,Germinoma
9064/3,"Tumor de células germinales, NOS"
9065/3,"Tumor de células germinales, no seminomatoso"
9070/3,"Carcinoma embrionario, NOS"
9070/3,Adenocarcinoma embrionario
9071/3,"Tumor del saco vitelino, NOS"
9071/3,"Carcinoma embrionario, infantil"
9071/3,"Tumor del saco vitelino, tipo prepuberal"
9071/3,Tumor del seno endodérmico
9071/3,Orquioblastoma
9071/3,Tumor vitelino polivesicular
9071/3,Tumor del saco vitelino hepatoide
9071/3,"Tumor del saco vitelino, tipo pospuberal"
9072/3,Poliembrioma
9072/3,"Carcinoma embrionario, tipo poliembrionario"
9073/1,Gonadoblastoma
9073/1,Gonocitoma
9080/0,"Teratoma, benigno"
9080/0,"Teratoma del adulto, NOS"
9080/0,"Teratoma quístico, NOS"
9080/0,Teratoma quístico del adulto
9080/0,"Teratoma maduro, NOS"
9080/0,"Teratoma, diferenciado"
9080/1,"Teratoma, NOS"
9080/1,Teratoma sólido
9080/1,"Tumor de células germinales, en regresión"
9080/1,Teratoma inmaduro de Pulmón
9080/1,Teratoma inmaduro del timo
9080/1,Teratoma inmaduro de la tiroides
9080/3,"Teratoma maligno, NOS"
9080/3,Teratoma embrionario
9080/3,Teratoblastoma maligno
9080/3,"Teratoma inmaduro, maligno"
9080/3,"Teratoma inmaduro, NOS"
9081/3,Teratocarcinoma
9081/3,Teratoma y carcinoma embrionario mixto
9081/3,Teratocarcinosarcoma
9082/3,"Teratoma maligno, indiferenciado"
9082/3,"Teratoma maligno, anaplásico"
9083/3,"Teratoma maligno, intermedio"
9084/0,"Quiste dermoide, NOS"
9084/0,"Dermoide, NOS"
9084/0,"Teratoma, tipo prepuberal"
9084/0,"Teratoma, tipo prepuberal maduro"
9084/3,Teratoma con transformación maligna
9084/3,Teratoma con neoplasias malignas de tipo somático
9084/3,Quiste dermoide con transformación maligna
9084/3,Quiste dermoide con tumor secundario
9085/3,Tumor mixto de células germinales
9085/3,Teratoma mixto y seminoma
9086/3,Tumor de células germinales con neoplasia hematológica asociada
9090/0,"Struma ovarii, NOS"
9090/3,"Struma ovarii, maligno"
9091/1,Carcinoide de estruma
9091/1,Struma ovarii y carcinoide
910,Neoplasias trofoblásticas
9100/0,"Mola hidatiforme, NOS"
9100/0,Mola hidatiforme completa
9100/0,Mola hidatídica
9100/1,Mola hidatiforme invasiva
9100/1,"Mola invasiva, NOS"
9100/1,"Corioadenoma, NOS"
9100/1,Corioadenoma destruens
9100/1,Mola hidatiforme maligna
9100/3,"Coriocarcinoma, NOS"
9100/3,Corioepitelioma
9100/3,Corionepitelioma
9101/3,Coriocarcinoma combinado con otras neoplasias de células germinales elementos
9101/3,Coriocarcinoma combinado con carcinoma embrionario
9101/3,Coriocarcinoma combinado con teratoma
9102/3,Teratoma maligno trofoblástico
9103/0,Mola hidatiforme parcial
9104/1,Tumor trofoblástico del sitio placentario
9105/3,Tumor trofoblástico epitelioide
911,Mesonephromas
9110/0,Adenoma de la red ovárica
9110/0,Mesonephroma benigno
9110/0,Adenoma mesonéfrico
9110/0,Adenoma del conducto de Wolff
9110/1,Tumor de Wolff
9110/1,Tumor del conducto de Wolff
9110/1,Tumor mesonéfrico
9110/3,Mesonephroma maligno
9110/3,"Mesonephroma, NOS"
9110/3,Adenocarcinoma mesonéfrico
9110/3,Carcinoma del conducto de Wolff
9110/3,Adenocarcinoma de la red ovárica
912-916,Tumores de los vasos sanguíneos
9120/0,"Hemangioma, NOS"
9120/0,"Angioma, NOS"
9120/0,Corioangioma
9120/0,Hemangioma en cereza
9120/0,Hemangioma sinusoidal
9120/0,Hemangioma microvenular
9120/0,Hemangioma glomeruloide
9120/0,Hemangioma de células fusiformes
9120/0,Hemangioma en uña de caballo
9120/3,Hemangiosarcoma
9120/3,Angiosarcoma
9121/0,Hemangioma cavernoso
9122/0,Hemangioma venoso
9123/0,Hemangioma racemoso
9123/0,Hemangioma arteriovenoso
9124/3,Sarcoma de células de Kupffer
9125/0,Hemangioma epitelioide
9125/0,Hemangioma histiocitoide
9125/0,Nódulo angiomatoide epitelioide cutáneo
9126/0,Lesión vascular atípica
9130/0,Hemangioendotelioma benigno
9130/1,Hemangioendotelioma NOS
9130/1,Angioendotelioma
9130/1,Hemangioendotelioma kaposiforme
9130/3,Hemangioendotelioma maligno
9130/3,Sarcoma hemangioendotelial
9131/0,Hemangioma capilar
9131/0,Hemangioma simple
9131/0,Hemangioma infantil
9131/0,Hemangioma juvenil Hemangioma
9131/0,Hemangioma plexiforme
9131/0,Hemangioma capilar lobulillar
9131/0,"Hemangioma congénito, NOS"
9131/0,"Hemangioma congénito, de involución rápida"
9131/0,"Hemangioma congénito, no involutivo"
9132/0,Hemangioma intramuscular
9132/0,Angioma intramuscular
9133/3,"Hemangioendotelioma epitelioide, NOS"
9133/3,Hemangioendotelioma epitelioide maligno
9133/3,Tumor bronquialveolar intravascular
9135/1,Angioendotelioma papilar intralinfático
9135/1,Angioendotelioma papilar endovascular
9135/1,Tumor de Dabska
9136/1,Hemangioendotelioma de células fusiformes
9136/1,Angioendotelioma de células fusiformes
9136/1,Hemangioendotelioma retiforme
9136/1,Hemangioendotelioma compuesto
9137/0,Miointimoma
9137/3,Sarcoma de la íntima
9138/1,Hemangioendotelioma pseudomiogénico (similar al sarcoma epitelioide)
9140/3,Sarcoma de Kaposi
9140/3,Múltiple Sarcoma hemorrágico
9141/0,Angioqueratoma
9142/0,Hemangioma queratósico verrugoso
9142/0,Malformación venosa verrugosa
9160/0,"Angiofibroma, NOS"
9160/0,Pápula fibrosa de la nariz
9160/0,Nevo involutivo
9160/0,Angiofibroma juvenil
9160/0,Angiofibroma celular
9160/0,Angiofibroma de células gigantes
9161/0,Hemangioma en penacho adquirido
9161/0,Hemangioma en penacho
9161/1,Hemangioblastoma
9161/1,Angioblastoma
917,Tumores de los vasos linfáticos
9170/0,"Linfangioma, NOS"
9170/0,"Linfangioendotelioma, NOS"
9170/3,Linfangiosarcoma
9170/3,Sarcoma linfangioendotelial
9170/3,Linfangioendotelioma maligno
9171/0,Linfangioma capilar
9172/0,Linfangioma cavernoso
9173/0,Linfangioma quístico
9173/0,"Higroma, NOS"
9173/0,Higroma quístico
9174/0,Linfangiomioma
9174/1,Linfangioleiomiomatosis
9174/1,Linfangiomiomatosis
9175/0,Hemolinfangioma
918-924,Neoplasias óseas y condromatosas
9180/0,"Osteoma, NOS"
9180/3,"Osteosarcoma, NOS"
9180/3,"Sarcoma osteogénico, NOS"
9180/3,Sarcoma osteoblástico
9180/3,Osteocondrosarcoma
9180/3,Osteosarcoma extraesquelético
9181/3,Osteosarcoma condroblástico
9182/3,Osteosarcoma fibroblástico
9182/3,Osteofibrosarcoma
9183/3,Osteosarcoma telangiectásico
9184/3,Osteosarcoma en la enfermedad ósea de Paget
9184/3,Osteosarcoma secundario
9185/3,Osteosarcoma de células pequeñas
9185/3,Osteosarcoma de células redondas
9186/3,"Osteosarcoma central, NOS"
9186/3,Osteosarcoma central convencional
9186/3,Osteosarcoma medular
9187/3,Osteosarcoma central de bajo grado
9187/3,Osteosarcoma intramedular de bajo grado
9187/3,Osteosarcoma intraóseo bien diferenciado
9187/3,Osteosarcoma intraóseo de bajo grado
9191/0,"Osteoma osteoide, NOS"
